url_id,normalized_url,page_role,classification_basis,review_required
dpiit_url_e76e839197f6908882e0,https://www.dpiit.gov.in/offerings,PROGRAMME_OR_SERVICE_PAGE,CONSERVATIVE_URL_AND_REGISTRY_ROLE,1
dpiit_url_86047bf20896d899feae,https://www.dpiit.gov.in/documents/orders-and-notices,PROGRAMME_OR_SERVICE_PAGE,CONSERVATIVE_URL_AND_REGISTRY_ROLE,1
dpiit_url_fa54fccc17be1318fb91,https://www.dpiit.gov.in/documents/gazettes-notifications,SUPPORTING_DOCUMENT,CONSERVATIVE_URL_AND_REGISTRY_ROLE,0
dpiit_url_9da8045f63603db56c15,https://www.startupindia.gov.in/,PROGRAMME_OR_SERVICE_PAGE,CONSERVATIVE_URL_AND_REGISTRY_ROLE,1
dpiit_url_922d99e5fcaccfec5f80,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,DIRECTORY,CONSERVATIVE_URL_AND_REGISTRY_ROLE,0
dpiit_url_99c433408283d26eddd7,https://www.startupindia.gov.in/content/sih/en/ams-application/application-listing.html,DIRECTORY,CONSERVATIVE_URL_AND_REGISTRY_ROLE,0
dpiit_url_04684b5757f0d8523b96,https://seedfund.startupindia.gov.in/,PROGRAMME_OR_SERVICE_PAGE,CONSERVATIVE_URL_AND_REGISTRY_ROLE,1
dpiit_url_9f03f2aa5eec0f36b7f2,https://www.startupindia.gov.in/content/sih/en/startupgov/startup_recognition_page.html,PROGRAMME_OR_SERVICE_PAGE,CONSERVATIVE_URL_AND_REGISTRY_ROLE,1
dpiit_url_3276ec97661f6ca604d7,https://www.startupindia.gov.in/content/dam/startupindia/Startup-India-Fund-of-Funds-2.0-Scheme.pdf,SUPPORTING_DOCUMENT,CONSERVATIVE_URL_AND_REGISTRY_ROLE,0
dpiit_url_5763daa91a3e505f4e87,https://www.startupindia.gov.in/content/sih/en/credit-guarantee-scheme-for-startups.html,PROGRAMME_OR_SERVICE_PAGE,CONSERVATIVE_URL_AND_REGISTRY_ROLE,1
dpiit_url_da07f008cf31082f8a6f,https://www.ncgtc.in/content/products/0/20250519/FAQ_CGSS_2025_2026_37fd554fb8.pdf,SUPPORTING_DOCUMENT,CONSERVATIVE_URL_AND_REGISTRY_ROLE,0
dpiit_url_46af64a16cb20bdccfbf,https://www.dpiit.gov.in/offerings/schemes-and-services/details/sipp-gTM1UDNtQWa,PROGRAMME_OR_SERVICE_PAGE,CONSERVATIVE_URL_AND_REGISTRY_ROLE,1
dpiit_url_d30889c9e8aba3a9d800,https://www.startupindia.gov.in/content/sih/en/nsa-landing.html,PROGRAMME_OR_SERVICE_PAGE,CONSERVATIVE_URL_AND_REGISTRY_ROLE,1
dpiit_url_4249da56cfe21ea4d7f2,https://www.startupindia.gov.in/content/sih/en/bharat-startup-grand-challenge.html,PROGRAMME_OR_SERVICE_PAGE,CONSERVATIVE_URL_AND_REGISTRY_ROLE,1
dpiit_url_5bf7a3ca8f670e2bef62,https://www.startupindia.gov.in/bhaskar/about,PROGRAMME_OR_SERVICE_PAGE,CONSERVATIVE_URL_AND_REGISTRY_ROLE,1
dpiit_url_c3253da46760a28c94d6,https://maarg.startupindia.gov.in/,PROGRAMME_OR_SERVICE_PAGE,CONSERVATIVE_URL_AND_REGISTRY_ROLE,1
dpiit_url_2f031f990a8e114c33eb,https://investorconnect.startupindia.gov.in/,PROGRAMME_OR_SERVICE_PAGE,CONSERVATIVE_URL_AND_REGISTRY_ROLE,1
dpiit_url_a455064439b724a2abd5,https://www.dpiit.gov.in/offerings/schemes-and-services/details/startup-india-initiative-MTMzYDNtQWa,PROGRAMME_OR_SERVICE_PAGE,CONSERVATIVE_URL_AND_REGISTRY_ROLE,1
dpiit_url_5a7a754ce99be84d5338,https://www.nsws.gov.in/,PROGRAMME_OR_SERVICE_PAGE,CONSERVATIVE_URL_AND_REGISTRY_ROLE,1
dpiit_url_85cb1a0caaed6fbdcf4d,https://egazette.nic.in/,PROGRAMME_OR_SERVICE_PAGE,CONSERVATIVE_URL_AND_REGISTRY_ROLE,1
