master_id,scheme_code,canonical_name,record_kind,official_page_url,application_status,opening_date,closing_date,funding_maximum,funding_evidence,last_verified_at,guideline_urls,status_basis,status_evidence,source,department,implementing_agency,objectives,eligibility,benefits,sectors,scheme_types,target_beneficiaries,startup_stage,warnings,application_url
msde_pmkvy_4,PMKVY-4.0,Pradhan Mantri Kaushal Vikas Yojana 4.0,SCHEME,https://www.msde.gov.in/offerings,STATUS_UNVERIFIED,,,,,2026-07-23,https://www.msde.gov.in/documents/guidelines/schemes-guidelines-UjN4ETMtQWa?-Guidelines=&pageTitle=Schemes-,Permanent scheme identity; current application window is not inferred.,MSDE offerings page lists PMKVY 4.0 as a Skill India Programme scheme.,Ministry of Skill Development & Entrepreneurship,Ministry of Skill Development & Entrepreneurship (MSDE),MSDE,Industry-relevant skill training and certification,Skill seekers and eligible training participants,Training and certification support,Skill development|Employability,SKILL_TRAINING|CERTIFICATION,Youth|Workers|Job seekers,IDEATION|EARLY,Current application status is not verified.
msde_pm_setu,PM-SETU,Pradhan Mantri Skilling and Employability Transformation through Upgraded ITIs,SCHEME,https://www.msde.gov.in/offerings,STATUS_UNVERIFIED,,,,,2026-07-23,,Permanent scheme identity; current application window is not inferred.,MSDE offerings page identifies PM-SETU and its DGT implementation.,Ministry of Skill Development & Entrepreneurship,Ministry of Skill Development & Entrepreneurship (MSDE),Directorate General of Training (DGT),Modernise ITIs with industry-aligned training,States and eligible ITI partners,Upgraded vocational infrastructure and training,Skill development|Vocational education,INFRASTRUCTURE_SUPPORT|SKILL_TRAINING,ITIs|States|Industry partners,EARLY|GROWTH,Current application status is not verified.
msde_pmnaps,PM-NAPS,Pradhan Mantri National Apprenticeship Promotion Scheme,SCHEME,https://www.msde.gov.in/offerings,STATUS_UNVERIFIED,,,,,2026-07-23,,Permanent apprenticeship-support identity; current application window is not inferred.,MSDE identifies PM-NAPS as a core Skill India Programme scheme.,Ministry of Skill Development & Entrepreneurship,Ministry of Skill Development & Entrepreneurship (MSDE),National Apprenticeship Promotion Scheme,Promote apprenticeship engagement with industry,Apprentices and establishments eligible under the scheme,Apprenticeship and on-the-job training,Skill development|Employment,APPRENTICESHIP_SUPPORT,Apprentices|Employers,EARLY|GROWTH,Current application status is not verified.
msde_jss,JSS,Jan Shikshan Sansthan (JSS),SCHEME,https://www.msde.gov.in/offerings/schemes-and-services/details/jan-shikshan-sansthan-jss-cjM4ATMtQWa,STATUS_UNVERIFIED,,,,,2026-07-23,,Permanent scheme identity; current application window is not inferred.,Official JSS detail page describes livelihood and self-employment training under MSDE.,Ministry of Skill Development & Entrepreneurship,Ministry of Skill Development & Entrepreneurship (MSDE),Directorate of Jan Shikshan Sansthan,Deliver doorstep non-formal vocational training and entrepreneurship pathways,Non-literates|Neo-literates|School dropouts|Graduates aged 15-45,Self-employment and livelihood skills,Skill development|Entrepreneurship,SKILL_TRAINING|ENTREPRENEURSHIP_SUPPORT,Rural youth|Women|Under-served communities,IDEATION|EARLY,Current application status is not verified.
msde_pmkk,PMKK,Pradhan Mantri Kaushal Kendra (PMKK),SCHEME,https://www.msde.gov.in/offerings/schemes-and-services/details/pradhan-mantri-kaushal-kendra-pmkk-MTM4ATMtQWa,STATUS_UNVERIFIED,,,7000000,NSDC secured-loan support up to INR 70 lakh per PMKK is stated on the official detail page.,2026-07-23,,Permanent scheme identity; current application window is not inferred.,Official PMKK detail page states the model-centre purpose and maximum secured-loan support.,Ministry of Skill Development & Entrepreneurship,Ministry of Skill Development & Entrepreneurship (MSDE),National Skill Development Corporation (NSDC),Create aspirational model training centres with industry-driven courses,Eligible training partners and trainees under MSDE schemes,Training-centre infrastructure and employability training,Skill development|Infrastructure,INFRASTRUCTURE_SUPPORT|SKILL_TRAINING,Training partners|Skill seekers,EARLY|GROWTH,Funding is for centre establishment and is not a universal startup grant.
msde_cts,CTS,Craftsmen Training Scheme (CTS),SCHEME,https://www.msde.gov.in/offerings,STATUS_UNVERIFIED,,,,,2026-07-23,,Permanent scheme identity; current application window is not inferred.,MSDE offerings page lists CTS as a DGT scheme.,Ministry of Skill Development & Entrepreneurship,Ministry of Skill Development & Entrepreneurship (MSDE),Directorate General of Training (DGT),Build a steady flow of skilled workers for industry,Eligible ITI trainees and trade applicants,Long-term industrial skills training,Skill development|Vocational education,SKILL_TRAINING,ITI trainees|Industrial workers,IDEATION|EARLY,Current application status is not verified.
msde_cits,CITS,Crafts Instructor Training Scheme (CITS),SCHEME,https://www.msde.gov.in/offerings,STATUS_UNVERIFIED,,,,,2026-07-23,,Permanent scheme identity; current application window is not inferred.,MSDE offerings page lists CITS and describes craft-instructor training.,Ministry of Skill Development & Entrepreneurship,Ministry of Skill Development & Entrepreneurship (MSDE),Directorate General of Training (DGT),Train qualified craft instructors and strengthen pedagogy,Instructor trainees meeting DGT eligibility,Instructor training and certification,Skill development|Vocational education,SKILL_TRAINING|CERTIFICATION,Craft instructors|ITI trainers,EARLY|GROWTH,Current application status is not verified.
msde_avts,AVTS,Advanced Vocational Training Scheme (AVTS),SCHEME,https://www.msde.gov.in/offerings,STATUS_UNVERIFIED,,,,,2026-07-23,,Permanent scheme identity; current application window is not inferred.,MSDE offerings page describes short modular AVTS courses for industrial requirements.,Ministry of Skill Development & Entrepreneurship,Ministry of Skill Development & Entrepreneurship (MSDE),Directorate General of Training (DGT),Provide short modular courses tailored to industrial requirements,Industrial workers and eligible trainees,Advanced and tailor-made vocational training,Skill development|Industry training,SKILL_TRAINING,Workers|Technicians|Trainees,EARLY|GROWTH,Current application status is not verified.
msde_women_vtp,WOMEN-VTP,Vocational Training Programme for Women,SCHEME,https://www.msde.gov.in/offerings,STATUS_UNVERIFIED,,,,,2026-07-23,,Permanent scheme identity; current application window is not inferred.,MSDE offerings page describes women-focused vocational training and enterprise pathways.,Ministry of Skill Development & Entrepreneurship,Ministry of Skill Development & Entrepreneurship (MSDE),Directorate General of Training (DGT),Expand women’s access to job skills and entrepreneurship,Women seeking vocational skills or instructor pathways,Employability and self-employment support,Skill development|Entrepreneurship,SKILL_TRAINING|ENTREPRENEURSHIP_SUPPORT,Women|Aspiring entrepreneurs,IDEATION|EARLY,Current application status is not verified.
msde_skill_loan,SKILL-LOAN,Skill Loan Scheme,SCHEME,https://www.msde.gov.in/whats-new,STATUS_UNVERIFIED,,,,,2026-07-23,,Permanent support identity; current loan application status is not inferred.,MSDE What's New catalogue lists Skill Loan Scheme under offerings.,Ministry of Skill Development & Entrepreneurship,Ministry of Skill Development & Entrepreneurship (MSDE),MSDE and participating lenders,Enable learners to finance eligible skill courses,Eligible trainees applying through participating lenders,Education and skill-training finance,Skill development|Finance,LOAN_SUPPORT,Skill seekers|Trainees,IDEATION|EARLY,Loan terms and current lender windows must be confirmed on the official portal.
msde_sankalp,SANKALP,Skill Acquisition and Knowledge Awareness for Livelihood Promotion (SANKALP),PROGRAMME,https://www.msde.gov.in/whats-new,STATUS_UNVERIFIED,,,,,2026-07-23,,Programme identity; no current application window is inferred.,MSDE What's New catalogue lists SANKALP among schemes and services.,Ministry of Skill Development & Entrepreneurship,Ministry of Skill Development & Entrepreneurship (MSDE),MSDE with state and institutional partners,Strengthen skill institutions and livelihood outcomes,States|Institutions|Skill ecosystem partners,System strengthening and livelihood promotion,Skill development|Institutional capacity,TECHNICAL_ASSISTANCE|SKILL_TRAINING,States|Institutions|Training partners,EARLY|GROWTH,Current application status is not verified.
msde_strive,STRIVE,Skill Strengthening for Industrial Value Enhancement (STRIVE),PROGRAMME,https://www.msde.gov.in/whats-new,STATUS_UNVERIFIED,,,,,2026-07-23,,Programme identity; no current application window is inferred.,MSDE What's New catalogue lists STRIVE among schemes and services.,Ministry of Skill Development & Entrepreneurship,Ministry of Skill Development & Entrepreneurship (MSDE),MSDE and participating institutions,Improve quality and market relevance of industrial training,Training institutions and skill ecosystem partners,Institutional and quality improvement support,Skill development|Industry training,TECHNICAL_ASSISTANCE|SKILL_TRAINING,Training institutions|Industry partners,EARLY|GROWTH,Current application status is not verified.
msde_iti_upgrade,ITI-UPGRADE,Schemes for Upgradation of ITIs,SCHEME,https://www.msde.gov.in/whats-new,STATUS_UNVERIFIED,,,,,2026-07-23,,Permanent programme identity; current application window is not inferred.,MSDE What's New catalogue lists schemes for upgradation of ITIs.,Ministry of Skill Development & Entrepreneurship,Ministry of Skill Development & Entrepreneurship (MSDE),Directorate General of Training (DGT),Upgrade industrial training infrastructure and delivery,Eligible ITIs and public training institutions,Modernised vocational infrastructure,Skill development|Infrastructure,INFRASTRUCTURE_SUPPORT,ITIs|Training institutions,EARLY|GROWTH,Current application status is not verified.
msde_iis,IIS,Setting up of Indian Institutes of Skills (IISs),SCHEME,https://www.msde.gov.in/whats-new,STATUS_UNVERIFIED,,,,,2026-07-23,,Permanent scheme identity; current application window is not inferred.,MSDE What's New catalogue lists Indian Institutes of Skills.,Ministry of Skill Development & Entrepreneurship,Ministry of Skill Development & Entrepreneurship (MSDE),MSDE and institutional partners,Create advanced skill institutions with industry linkages,Eligible institutional and industry partners,Advanced skills infrastructure,Skill development|Industry training,INFRASTRUCTURE_SUPPORT|SKILL_TRAINING,Institutions|Industry partners,EARLY|GROWTH,Current application status is not verified.
msde_aspirational_skilling,ASA,Aspirational Skilling Abhiyan,PROGRAMME,https://www.msde.gov.in/whats-new,STATUS_UNVERIFIED,,,,,2026-07-23,,Programme identity; current application window is not inferred.,MSDE What's New catalogue lists Aspirational Skilling Abhiyan.,Ministry of Skill Development & Entrepreneurship,Ministry of Skill Development & Entrepreneurship (MSDE),MSDE,Expand demand-led and inclusive skilling pathways,Skill seekers and local ecosystem partners,Improved access to employability skills,Skill development|Employment,SKILL_TRAINING,Youth|Job seekers,IDEATION|EARLY,Current application status is not verified.
msde_flexi_mou,FLEXI-MOU,Flexi MoUs (Flexible Memorandum of Understanding),PROGRAMME,https://www.msde.gov.in/whats-new,STATUS_UNVERIFIED,,,,,2026-07-23,,Programme identity; current application window is not inferred.,MSDE What's New catalogue lists Flexi MoUs among schemes and services.,Ministry of Skill Development & Entrepreneurship,Ministry of Skill Development & Entrepreneurship (MSDE),MSDE and industry partners,Enable flexible industry-linked training arrangements,Industry and eligible training partners,Customised training collaboration,Skill development|Industry training,PARTNERSHIP_SUPPORT,Industry|Training partners,EARLY|GROWTH,Current application status is not verified.
msde_dst,DUAL-TRAINING,Dual System of Training (DST),PROGRAMME,https://www.msde.gov.in/whats-new,STATUS_UNVERIFIED,,,,,2026-07-23,,Programme identity; current application window is not inferred.,MSDE What's New catalogue lists Dual System of Training.,Ministry of Skill Development & Entrepreneurship,Ministry of Skill Development & Entrepreneurship (MSDE),Directorate General of Training (DGT),Combine institute instruction with industry training,ITI trainees and participating establishments,Work-based vocational learning,Skill development|Industry training,APPRENTICESHIP_SUPPORT|SKILL_TRAINING,ITI trainees|Employers,IDEATION|EARLY,Current application status is not verified.
msde_ne_lwe,NE-LWE,Initiatives in the North East and LWE Regions,PROGRAMME,https://www.msde.gov.in/whats-new,STATUS_UNVERIFIED,,,,,2026-07-23,,Programme identity; current application window is not inferred.,MSDE What's New catalogue lists regional skill initiatives.,Ministry of Skill Development & Entrepreneurship,Ministry of Skill Development & Entrepreneurship (MSDE),MSDE and regional partners,Improve access to training in priority regions,Youth and institutions in North East and LWE regions,Regional skilling and employability support,Skill development|Regional development,SKILL_TRAINING,Youth|Training institutions,IDEATION|EARLY,Current application status is not verified.
msde_polytechnics,POLYTECHNICS,Polytechnics,PROGRAMME,https://www.msde.gov.in/whats-new,STATUS_UNVERIFIED,,,,,2026-07-23,,Programme identity; current application window is not inferred.,MSDE What's New catalogue lists Polytechnics among schemes and services.,Ministry of Skill Development & Entrepreneurship,Ministry of Skill Development & Entrepreneurship (MSDE),MSDE and polytechnic institutions,Support technical and vocational education pathways,Eligible polytechnic institutions and learners,Technical education and skills access,Skill development|Technical education,SKILL_TRAINING,Students|Technical institutions,IDEATION|EARLY,Current application status is not verified.
msde_rozgar_mela,ROZGAR-MELA,Rozgar Mela,PROGRAMME,https://www.msde.gov.in/whats-new,STATUS_UNVERIFIED,,,,,2026-07-23,,Programme identity; event dates are not inferred from the catalogue entry.,MSDE What's New catalogue lists Rozgar Mela among schemes and services.,Ministry of Skill Development & Entrepreneurship,Ministry of Skill Development & Entrepreneurship (MSDE),MSDE and partner employers,Connect skilled candidates with employment opportunities,Skill seekers and employers,Employment linkage and career access,Employment|Skill development,EMPLOYMENT_SUPPORT,Youth|Job seekers|Employers,EARLY|GROWTH,Event dates and registration windows must be verified on the official notice.
msde_national_entrepreneurship_awards,NEA,National Entrepreneurship Awards,PROGRAMME,https://www.msde.gov.in/documents/publications,STATUS_UNVERIFIED,,,,,2026-07-23,,Programme identity; award nominations are not inferred as an open call.,MSDE publications catalogue includes the National Entrepreneurship Awards brochure.,Ministry of Skill Development & Entrepreneurship,Ministry of Skill Development & Entrepreneurship (MSDE),MSDE,Recognise and encourage entrepreneurship and enterprise creation,Entrepreneurs meeting the notified award criteria,Recognition and entrepreneurship visibility,Entrepreneurship|Enterprise development,RECOGNITION_SUPPORT|ENTREPRENEURSHIP_SUPPORT,Entrepreneurs|Innovators,EARLY|GROWTH,Current nomination window is not verified.
